,ID,SYMBOL,DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,ADJCLOSE
1309,,MSFT,2007-11-20,25.5563,26.2963,25.4263,25.9063,100009400.0,25.9063
1310,,MSFT,2007-11-08,26.8004,27.1004,25.6004,25.9404,133742400.0,25.9404
1311,,MSFT,2007-03-02,20.8493,20.9893,20.5893,20.5893,63254700.0,20.5893
1312,,MSFT,2006-06-30,17.34,17.45,17.1,17.1,73048800.0,17.1
1313,,MSFT,2006-04-21,19.7482,20.0882,19.6982,19.8482,58528000.0,19.8482
1314,,MSFT,2006-03-02,19.7666,19.8466,19.6466,19.7166,41850300.0,19.7166
1315,,MSFT,2006-02-07,19.6381,19.8381,19.4981,19.6281,72159500.0,19.6281
1316,,MSFT,2005-12-14,19.6474,19.8874,19.4974,19.7374,65076200.0,19.7374
1317,,MSFT,2005-08-03,19.2474,19.9174,19.2174,19.7374,139422400.0,19.7374
1318,,MSFT,2005-05-17,18.2909,18.4809,18.2309,18.4409,39983200.0,18.4409
1319,,MSFT,2005-02-04,18.7951,18.9951,18.7651,18.9451,61246500.0,18.9451
1320,,MSFT,2004-08-24,17.7523,17.8123,17.4423,17.5923,40835300.0,17.5923
1321,,MSFT,2004-08-12,17.6587,17.7387,17.2887,17.3087,50279700.0,17.3087
1322,,MSFT,2004-08-02,18.1147,18.3947,18.0047,18.3647,52267000.0,18.3647
1323,,MSFT,2004-07-01,18.5056,18.6456,18.0656,18.4356,78441400.0,18.4356
1324,,MSFT,2004-03-03,16.9603,17.1603,16.8303,16.9803,54998700.0,16.9803
1325,,MSFT,2003-09-11,17.6469,18.0969,17.5769,17.8269,37813300.0,17.8269
1326,,MSFT,2003-08-05,17.0809,17.3109,16.3709,16.4309,58825800.0,16.4309
1327,,MSFT,2003-07-08,17.2972,17.8372,17.2872,17.7372,61896800.0,17.7372
1328,,MSFT,2003-01-17,17.1629,17.1929,16.3479,16.4229,155876000.0,16.4229
1329,,MSFT,2003-01-15,18.323,18.483,17.918,17.958,59622600.0,17.958
1330,,MSFT,2002-12-11,17.0392,17.6192,16.9042,17.4442,69186200.0,17.4442
1331,,MSFT,2002-08-27,16.9701,17.0301,16.1301,16.2251,65470200.0,16.2251
1332,,MSFT,2002-03-15,19.1981,19.9531,19.1831,19.9431,69086800.0,19.9431
1333,,MSFT,2002-03-12,19.949,20.089,19.524,19.959,66407200.0,19.959
1334,,MSFT,2001-09-25,16.8569,17.2219,15.8019,16.3719,84940600.0,16.3719
1335,,MSFT,2001-07-10,21.2882,21.4632,20.5132,20.5782,66562600.0,20.5782
1336,,MSFT,2001-04-18,19.8613,21.3213,19.6663,20.8813,156696400.0,20.8813
